#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1680262346588240400,0.000146552,-0.000308163,-0.000106311,0.16741,0.410381,-9.79862
1680262346921257900,0.000106794,0.000121125,-3.57675e-05,0.158854,0.418562,-9.79696
1680262347253749900,-0.000269222,-0.000169684,7.94747e-05,0.166442,0.420076,-9.78961
1680262347587693300,0.000158893,5.39782e-05,8.5116e-05,0.166279,0.422107,-9.80081
1680262347920611700,6.4131e-05,0.000317921,0.000155044,0.167426,0.426517,-9.802
1680262348254447500,-5.787e-05,0.000204291,0.000252967,0.160454,0.419485,-9.80013
1680262348587683400,-0.000217033,0.000213377,-8.81924e-05,0.165921,0.419041,-9.79748
1680262348920762900,-7.08004e-05,-5.78163e-05,-3.68666e-05,0.166147,0.419214,-9.79124
1680262349254371900,0.000216064,0.000286558,-0.000175025,0.170801,0.428514,-9.80471
1680262349587681700,2.21344e-05,-0.000109623,0.000417815,0.167405,0.424613,-9.79846
1680262349920530600,-6.20921e-05,8.48684e-05,-0.000128186,0.164308,0.421843,-9.79676
1680262350253823100,-0.000129304,-2.55874e-06,-1.90056e-05,0.155941,0.427314,-9.79034
1680262350587745200,-1.49851e-05,0.000232374,7.62406e-05,0.162063,0.418769,-9.79291
1680262350920468200,0.000407942,-6.64907e-05,7.36255e-06,0.166433,0.423573,-9.7958
1680262351254275600,2.01937e-05,4.71847e-05,3.15301e-05,0.168894,0.416494,-9.80113
1680262351582014400,-4.44804e-05,-0.000107821,0.00016287,0.160553,0.426312,-9.78995
1680262351590040300,9.94577e-05,0.000160204,0.000436737,0.158108,0.413401,-9.80618
1680262351610085900,-0.000343141,-7.01845e-05,-0.000526623,0.151329,0.415122,-9.79566
1680262351665649900,-0.000180821,0.000411513,0.000119384,0.166052,0.39659,-9.78374
1680262351732153000,0.00025511,-0.000410461,-1.24336e-05,0.166925,0.411885,-9.79553
1680262351763753900,-0.000335095,-9.50261e-05,-0.000367891,0.17407,0.411849,-9.79703
1680262351802506000,-3.5752e-05,-6.69472e-05,5.30698e-05,0.161224,0.426888,-9.79328
1680262351835774600,0.000531617,-0.000340118,-2.21504e-05,0.145963,0.424456,-9.79953
1680262351845951000,-0.00234657,0.000133912,0.000355457,0.158145,0.410304,-9.76537
1680262351858888000,0.00150857,0.000433371,-0.00111652,0.165367,0.383417,-9.7927
1680262351873963800,0.000988059,0.00087018,-0.000300152,0.149117,0.442546,-9.79568
1680262351887164000,0.000360093,-0.000512039,0.000914849,0.199568,0.425558,-9.78082
1680262351900374500,0.000348979,-0.000225846,0.000917147,0.164972,0.418766,-9.804
1680262351909616400,-0.000202947,-0.00080136,-2.85982e-05,0.185161,0.470615,-9.81404
1680262351922467500,0.000361893,-0.00117546,-4.6898e-05,0.214443,0.4402,-9.77024
1680262351935400400,0.000403564,9.35058e-05,0.00065783,0.216424,0.409081,-9.77925
1680262351944441900,0.00022993,0.000388983,-0.000199922,0.149308,0.415158,-9.8067
1680262351955697700,-0.000359433,0.000114222,0.00050027,0.161297,0.408547,-9.79673
1680262351968750500,0.0004201,-0.000550648,0.00109023,0.174452,0.413546,-9.81806
1680262351977821700,-0.00126214,0.00154308,0.000841676,0.134425,0.386182,-9.73722
1680262351989072800,-0.000183582,0.000381511,-0.0015735,0.169983,0.391346,-9.81042
1680262352001813900,-0.000400444,-2.05944e-05,0.000833282,0.166851,0.443199,-9.77204
1680262352010607800,-0.000284864,-0.000148048,-0.00131034,0.153665,0.439873,-9.80542
1680262352022391800,0.000796014,-0.000375177,-0.000101495,0.131828,0.42057,-9.73705
1680262352035280500,0.000135896,-0.000456379,-0.000536655,0.155243,0.41098,-9.80011
1680262352043958800,-0.00026893,0.00138407,0.00113645,0.153643,0.360619,-9.77324
1680262352056033300,0.000440748,-0.000748783,-0.000373831,0.168013,0.420006,-9.80215
1680262352069428300,0.000589291,-0.000320686,-0.000187687,0.133931,0.407148,-9.78156
1680262352078412300,0.000300214,0.000872429,0.000298867,0.154076,0.431603,-9.82095
1680262352088966700,-0.000372965,0.000136794,-0.00102215,0.153472,0.342679,-9.81885
1680262352101277000,-0.000586779,0.000552818,-0.000205599,0.123272,0.425952,-9.79618
1680262352110008700,-5.25829e-05,-0.000500137,-0.000355138,0.217744,0.410521,-9.78088
1680262352118477200,0.00140823,-0.00152005,0.00102632,0.178012,0.387063,-9.80512
1680262352126798200,3.84382e-05,7.86571e-05,0.000295156,0.216235,0.411351,-9.78667
1680262352135102400,-0.00113214,0.00118271,0.00103418,0.218138,0.438397,-9.75844
1680262352143413300,0.000341327,0.000199695,0.000581402,0.213322,0.39569,-9.86691
1680262352151780100,0.000740102,0.00115715,-0.000750555,0.188438,0.40898,-9.77443
1680262352160110500,-0.000934023,-0.000167217,-0.000219506,0.145929,0.425615,-9.80801
1680262352169324500,-0.00128817,-0.000223449,0.000137627,0.154966,0.440126,-9.8251
1680262352200135600,-0.000794409,0.000289923,-0.000260012,0.182526,0.418415,-9.77691
1680262352208299700,0.000944257,0.000108451,0.000295131,0.163592,0.396287,-9.75848
1680262352216858000,0.000182794,0.000244177,0.000326795,0.155088,0.418492,-9.83674
1680262352224996900,-0.00120288,-0.000285265,0.000767769,0.114506,0.426928,-9.7861
1680262352233783000,0.00079496,-0.00028963,-0.000162185,0.164154,0.400367,-9.755
1680262352241650500,-0.0013256,-0.000488254,0.000603705,0.162438,0.439805,-9.81127
1680262352250114200,0.0010491,-0.000499619,0.000631918,0.124908,0.407386,-9.80796
1680262352258402100,0.00100786,0.00248322,-0.00101409,0.182539,0.428966,-9.82034
1680262352266917500,-0.0005024,0.000920573,-0.00100574,0.264249,0.428781,-9.80621
1680262352274989300,-0.000992464,0.000839153,0.000109252,0.132142,0.409772,-9.81016
1680262352283427700,0.00102689,0.000153376,0.000526771,0.163783,0.432515,-9.85188
